index,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
3782,RT: @mention Now online: First iPad 2 in the Wild at #SXSW {link},iPad,Positive emotion
3783,Monetization of @mention - access to the fire hose of all tweets. Individual business deals - google yahoo microsoft #smaroi #SXSW #donline,,No emotion toward brand or product
3784,"Last session of #sxsw for me - HTML5 with reps from google, ms, opera and mozilla.",,No emotion toward brand or product
3785,"And @mention opens with some tech talk on the Apple store and whore PCs. right crowd, they dig! -carrie #sxsw",,No emotion toward brand or product
3786,Cc: @mention RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW  {link},,No emotion toward brand or product
3787,RT: @mention RT @mention Traveling to #sxsw with your ipad 1 is so 3/10/2011,,No emotion toward brand or product
3788,RT: @mention RT @mention Traveling to #sxsw with your ipad 1 is so 3/10/2011 (via @mention,,No emotion toward brand or product
3789,Tuh @mention RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by {link},,No emotion toward brand or product
3790,VIP @mention the apple store! #sxsw #nerdheaven,Apple,Positive emotion
3791,RT ÛÏ@mention The only news at SXSWi was Apple's temporary iPad store? #sxsw #wth?Û YES. Think of it as the ultimate offsite trade show &quot;booth.&quot;,,No emotion toward brand or product
3792,Registration to Android market has been approved! #lmndst #sxsw #startupbus,,Positive emotion
3793,"Last session today. Left Brain Search = Google. Right Brain Search = X 
#SXSW #BetterSearch",,No emotion toward brand or product
3794,hey @mention twitter needs a way for us in disaster areas to filter out things like #sxsw and #ipad too because right now we really don't care,iPad,Negative emotion
3795,Hey @mention we're at the @mention grill too!! Why don't you come by? You can create a customizable iPhone cases for a tweet! #sxsw,,Positive emotion
3796,"Hey @mention why not roll a tractor trailer or 2, full of iPads into #SXSW, I bet you would sell the entire inventory out! #justsaying",iPad,Positive emotion
3797,"RT: @mention With 150 million mobile users on Google maps, 40% of all Google Maps usage is from mobile devices. #maps #sxsw",,No emotion toward brand or product
3798,"RT: @mention Woman on plane next to me has a Nook, Blackberry Curve, Android and iPad in her purse. #sxsw!",,No emotion toward brand or product
3799,Hey @mention youÛªre a Lakers fan and you're at #sxsw. What do you think about a Lakers iPhone case? #zazzlesxsw,,No emotion toward brand or product
3800,Hey @mention your app won't download from the Android app market. Just a heads up #SXSW,Android App,Negative emotion
3801,Good session! RT @mention 2 years of time saved every day by people qho use google maps &quot;route around&quot; feature #sxsw,Google,Positive emotion
3802,"Use question/answer, ask/receive kind of model in iPad app design. Give and take. Entice them to ask more. @mention #tapworthy #sxsw",,No emotion toward brand or product
3803,Best sessions I've seen so far at #SXSW have been this morning. Music of Ixd and Designing iPad Interfaces #winning,,Positive emotion
3804,Domo for iOS and Android just got released! @mention #domo #tonchidot #boom #sxsw,Android App,Positive emotion
3805,"Getting hip to new Android apps in preparation for #Hangover3, also known as #SXSW. @mention @mention and @mention apps rock my socks :)",Android App,Positive emotion
3806,"Packing #iPad &amp; #Android phone 2 fly from UK 2 Austin, TX for #sxsw Especially interested in the health track #sxswi #sxswh #hcsm #hcsmeu",,No emotion toward brand or product
3807,@mention iPad #apple #fanboy line at #sxsw on 6th &amp; Congress drinking @mention wearing @mention &amp; @mention #corporatewhore #dmad #what,,No emotion toward brand or product
3808,ZOMG its iPad 2 :p RT @mention Look everyone! Zomg @mention got an iPad 2 on the first day! #sxsw {link},iPad,Positive emotion
3809,win free iPad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product
3810,Win free IPad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product
3811,Win free ipad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product
3812,Win free iPad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product
3813,Win free ipad 2 from webdoc.com #sxsw RT,iPad,Positive emotion
3814,Win free iPad 2 from webdoc.com #sxsw RT,iPad,Positive emotion
3815,"Git yer #iPad 2 here! Before It Even Begins, Apple WinsåÊ#SXSW {link} via @mention",Apple,Positive emotion
3816,Line for iPad 2 is longer today than yesterday. #SXSW #fb,,No emotion toward brand or product
3817,Guy with iPad 2 taking photos of @mention slides. Awkward! #sxsw,iPad,Negative emotion
3818,I heart #iPad 2. {link} #SXSW,iPad,Positive emotion
3819,"@mention iPad app getting panned for design trumping content, and rightfully so. #SXSW",iPad or iPhone App,Negative emotion
3820,"I won an iPad at #SXSW! Nah I'm lying, I bought this shit myself :( {link}",,No emotion toward brand or product
3821,Left the ipad back at the hotel...only one here on a blackberry #bigmistake #SXSW,,No emotion toward brand or product
3822,Using an IPad for a set list #SXSW band,iPad,Positive emotion
3823,Using an IPad for a set list! #SXSW band,iPad,Positive emotion
3824,"Who said IPAD photos? Apple Store, #SXSW @mention @mention @mention @mention}",,No emotion toward brand or product
3825,Apple's #iPad pop-up shop at #SXSW {link},,No emotion toward brand or product
3826,Who said iPad? at Apple Store #SXSW photos by  @mention @mention @mention @mention @sheltongreen @EricSchu_Ras  {link},,No emotion toward brand or product
3827,"What? no iPad? RT @mention Decision not 2 lug laptop 2 #Sxsw I feel like I'm missing my right arm. Or left arm, since I'm a southpaw",iPad,Positive emotion
3828,Line for ipad2 at temporary Apple store @mention 6th &amp; congress #sxsw {link},,No emotion toward brand or product
3829,How many iPad2's do you think Apple could sell to sxsw attendees if they set up a pop-up store at the convention center? #sxsw,,Positive emotion
3830,Line for iPads at #SXSW. Doesn't look too bad! (I waited 6.5 hours for an iPhone 4).,iPad,Positive emotion
3831,Line for iPads at #SXSW. Doesn't look too bad! (I waited 6.5 hours for an iPhone 4). {link},,No emotion toward brand or product
3832,@mention iPhone + Android has to be 75-80% #SXSW,,No emotion toward brand or product
3833,@mention iPhone app = awesome! Lineup = amazing! Really looking forward to hanging out with you guys at #SXSW for @mention,iPad or iPhone App,Positive emotion
3834,"@mention iPhone app is leading the pack, but android (blue) users #s are growing #sxswmobileapps #sxsw {link}",iPad or iPhone App,Positive emotion
3835,"Breaking iPhone news Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link}",,No emotion toward brand or product
3836,Get your iPhone photography app ready at #SXSW. Watch a demo what we about to make with you &amp; everyone else's photos: {link},,No emotion toward brand or product
3837,My #sxsw iPhone screen.,,No emotion toward brand or product
3838,Fuck the iphone! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW ... {link},iPhone,Negative emotion
3839,awesome: iphones etc on at&amp;t and wifi frozen at #sxsw but  #tmobile teathering on my Android G2 works like a charm,Android,Positive emotion
3840,"Chips, chips &amp; more chips; appears to be the official meal of #SXSW &amp; what I've lived on for 4 days (tons of Miller Light &amp; iPhone apps too)",,No emotion toward brand or product
3841,#Google Circles - the search engine's social network to be released soon? #SXSW seem to think so. My blog: {link} #socialmedia,,No emotion toward brand or product
3842,#Google Circles &amp; crop circles: the anatomy of a #SXSW rumor -{link} by @mention,,No emotion toward brand or product
3843,most inspiring and down to heart session about iphone app design so far! Thanks @mention #sxsw,iPad or iPhone App,Positive emotion
3844,Some inspiring stories coming out of #SXSW RT @mention @mention &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;,,No emotion toward brand or product
3845,AKQA is hiring. Find me up front after Designing iPad Interfaces - New Navigation Schemas in Ballroom A. #sxsw,,No emotion toward brand or product
3846,C9: The First Cut {link} [codes valid: 8:00-11:59:59a 03/12/11] #infektd #sxsw #cvdc,,No emotion toward brand or product
3847,Ha! The first guy in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs,,No emotion toward brand or product
3848,Hoping this &quot;photobooth&quot; makes it to the #Google #gsdm Industry Party with @mention on Monday night. #sxsw,,No emotion toward brand or product
3849,@mention is #android app known battery killer? #sxsw,,No emotion toward brand or product
3850,@mention is about to talk about the mistakes he made building Netflix for the iPhone. #SXSW #netflixiphone,iPad or iPhone App,Negative emotion
3851,The line is already forming at the temp Austin Apple store...and it doesn't open until 5. #sxsw #insanity,,No emotion toward brand or product
3852,@mention is an out-of-town douchebag selling his new ipad 2 above sticker price. {link} #sxsw,,No emotion toward brand or product
3853,Go get this app @mention fast :) RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW,iPad or iPhone App,Positive emotion
3854,"#SXSW GO is available on 5 platforms - iPhone, iPad, Android, Windows Phone 7, and Blackberry.  Download it at {link}",,No emotion toward brand or product
3855,"@mention is biyt.ly for email, like google voice for email #loveit #sxsw #startupbus",,I can't tell
3856,So #SXSW is cool. I strike up a conversation with a bloke who happens to work for The Guardian &amp; a few hours later... {link},,No emotion toward brand or product
3857,"@mention is currently at #SXSW - learning stuff about iPad design, it would seem: {link}",,No emotion toward brand or product
3858,Who else is excited for #SXSW and the possibility of Google Circles? Is anybody in Austin who can give us an update? $GOOG,Other Google product or service,Positive emotion
3859,"@mention is here at The Industry Party presented by  #GSDM &amp; #Google in Austin, TX for #SXSW.",,No emotion toward brand or product
3860,{link} This is insane... Even more of a reason to go to SXSW #SXSW #Appletogo,,Positive emotion
3861,"Bad news is it costs $1,000? RT @mention Louis Vuitton has an iPhone app. Called Amble #digitalluxury #sxsw",,Negative emotion
3862,Z9: What is it? {link} [codes valid: 8:00-11:59:59a 03/12/11] #infektd #sxsw #zlf,,No emotion toward brand or product
3863,Quantter is launching an iPhone app soon. We're participating in the LaunchRock comp at #sxsw {link},,No emotion toward brand or product
3864,@mention is looking a lot better on the iPhone now. Good to see the occasional tweet from #SXSW too,iPhone,Positive emotion
3865,"My row this morning two people hand writing notes, one person on a Blackberry and me on a #pc - proof Apple isn't a monopoly at #sxsw",Apple,Negative emotion
3866,@mention is my favorite iphone app at the moment-it makes me feel creative!  I'm planning on using it at #SXSW! {link},iPad or iPhone App,Positive emotion
3867,#Discovr is now available on iPhone. Thanks #SXSW!,iPad or iPhone App,Positive emotion
3868,iPad 2 - is now available for online ordering. Go get urs. :-) #Sxsw,iPad,Positive emotion
3869,@mention is now the Geek Charlie Sheen with his goddesses @mention @mention @mention #google #SXSW (via @PeterApokotos),,No emotion toward brand or product
3870,This kid is ready for #SXSW.  Backpack and iPad... What more does one need?  &quot;Come on mommy let's go to Austin!&quot;,iPad,Positive emotion
3871,@mention is right next to @mention on the #SXSW trade show floor! {link},,No emotion toward brand or product
3872,@mention is setting up for the Team Android event at #SXSW,,No emotion toward brand or product
3873,Thinking is still good though :) RT @mention &quot;Google before you tweet is the new think before you speak&quot; -- Belinsky #sxsw /via @mention,,No emotion toward brand or product
3874,"@mention is talking about how mobile phones, Google Earth, FB is empowering people to fight back against Middle East dictators... #SXSW",,Positive emotion
3875,@mention is that #google circles rumour ???  @mention says We're not launching any products at #SXSW,,No emotion toward brand or product
3876,"@mention is that u? &quot;Google to Launch Major New Social Network Called Circles, Possibly Today&quot; {link} #sxsw",,No emotion toward brand or product
3877,"The iPad is the device of the moment, wireless power is the next essential technology, and the API is king. #sxsw",iPad,Positive emotion
3878,How long is the line at the #SXSW Apple Store downtown?,,No emotion toward brand or product
3879,How long is the line at the apple store? #SXSW,,No emotion toward brand or product
3880,@mention Is there already a line for the iPad 2's that just arrived? #SXSW,,No emotion toward brand or product
3881,So where is this temporary apple store setup? #sxsw,,No emotion toward brand or product
3882,How Cool is this! #Apple opening a temporary store for the #iPad2 launch and #SXSW {link},Apple,Positive emotion
3883,"@mention is working on an tablet/iPad app! No demo yet, but they are excited. #sxsw #sxswmobileapps #AccessSXSW",iPad or iPhone App,Positive emotion
3884,"Loving this! Hello, Holler Gram for iPad {link} via @mention #SXSW",iPad or iPhone App,Positive emotion
3885,#notsurprised lots of Geosocial news today w/ #sxsw beginning - Google fires a shot at Foursquare with check in rewards {link},,No emotion toward brand or product
3886,I'm surprised the local news in Austin hasn't mentioned the traffic implications of the Apple pop-up store that launches today at #SXSW.,Apple,No emotion toward brand or product
3887,Many publishers' iPad content enhancements are like th worst David Foster Wallace footnotes- kinda interesting but mostly irrelevant. #sxsw,iPad or iPhone App,Negative emotion
3888,"The fiendishly clever pop up Apple Store, now selling iPad 2s! #sxsw @mention Apple Store, SXSW {link} #photo",iPad,Positive emotion
3889,iPhone crisis at #sxsw Phone is stuck on silver logo screen. Has been for last 15 minutes. Help?,iPhone,Negative emotion
3890,Playing Risk on iPad at Microsoft booth while rep talks with BBC reporter about Kinect and trans-device connectivity... #SXSW,,No emotion toward brand or product
3891,"Did you miss Google's VP of Search, Marissa Mayer last week? Listen to the interview here  {link} #SXSW",,No emotion toward brand or product
3892,Loved Marissa Mayer's answer to question about her favorite not Google product: 1. another Amy's Ice Cream ref. And 2. her Swiss watch #SXSW,,No emotion toward brand or product
3893,#sxsw - Missed Marissa Mayer @mention yesterday - is presentation available anywhere? Not sure if was streamed.,,No emotion toward brand or product
3894,the panelist from Texas Observer called the iPad a lean back device #SXSW #in #newsapp #i'mconfused,,I can't tell
3895,Must. Resist. Buying a iPad2 @mention #SXSW. Really want a #notionink #adam instead... but apple have a store for the launch in #SXSW :/,iPad,Positive emotion
3896,Someone mistakenly walked off with my iPad from the #pepsicostage. @mention the screen looks like this. #SXSW {link},,No emotion toward brand or product
3897,"#SXSW : Mistakes Made Building Netflix for iPhone (Plus, How to See Its Source Code!)

 {link}",,No emotion toward brand or product
3898,"#sxsw #twit #geekbeat Free Idea: a hooded snuggie with a tummy pocket for an iPad facing out, so you look like a #TeleTubbie. I'm old",,No emotion toward brand or product
3899,The exhibit hall is open at #SXSW! Visit #EMC for a chance to win an iPad 2! @mention,iPad,Positive emotion
3900,"I'd love it if Google said, &quot;Why do you want to know?&quot; #sxsw",,No emotion toward brand or product
3901,Has made it into the press room got the swag and registered for an iPad 2. Hopefully get to meet mike tyson and @mention #sxsw,,No emotion toward brand or product
3902,You know it is #SXSW season when there are 10 app updates whenever you open up the iPhone app store,,No emotion toward brand or product
3903,"@mention it is a good question &amp; for most brands, the answer is probably no! Except apple of course..maybe Netflix too?. #SxSW",Apple,Positive emotion
3904,Both? If it made sense financially I would have both. RT @mention Android vs IPhone at  #SXSW which side are you on?,,No emotion toward brand or product
3905,@mention It sounds like you were hired by Apple to pitch their products at #SXSW,,No emotion toward brand or product
3906,Gotta admit this Apple Pop-up shop thing at #sxsw is pretty brilliant. So someone at AAPL knows what they're doing,Apple,Positive emotion
3907,"I cant wait to give the SAMSUNG people a demo of my horrible, terrible Google Nexus S phone at #sxsw",Google,Negative emotion
3908,"And now, it won't pull from website to iPhone. Awesome. Glad I wasted that time. #festivalgenius #notsomuch #sxsw",iPhone,Negative emotion
3909,You said it!  Even better 2 have iPhone w/Verizon! Revenge 4 yrs of ridicule! RT @mention Very glad to be a #verizon customer! #sxsw,iPhone,Positive emotion
3910,They did it! Unlisted Apple Store suddenly appears on the corner of 6th &amp; Congress! #apple #iPad #SXSW {link},Apple,Positive emotion
3911,@mention It's actually true! Apple is opening up a temporary store in downtown Austin for #SXSW &amp;iPad2 launch {link},,No emotion toward brand or product
3912,You know it's bad with you have to un-RSVP just to see/use your calendar.  #iphone #sxsw #FML,,Negative emotion
3913,@mention It's crazy here! Loving it. Never seen so many Apple products &amp; thick rimmed glasses in one place. #sxsw,Apple,Positive emotion
3914,@mention It's the next step of Google becoming Skynet. #SXSW,Google,Negative emotion
3915,#sxsw digital innovators the new rock stars like @mention awesome talk. Insight into @mention future #musicconnex,,No emotion toward brand or product
3916,We're excited to be at #sxsw and giddy to announce that Music WithMe for Android is now available in Android Market. {link},Android App,Positive emotion
3917,I think literally everyone here has an iPhone. A guy just dropped his iPhone on my foot. #sxsw,,No emotion toward brand or product
3918,Playing with {link}  New service rolled out at #SXSW  Web or iphone version.  Android and webos?,,No emotion toward brand or product
3919,Hanging with @mention checking out her awesome new iPhone app Ask Around #SXSW (@mention Six Lounge w/ 10 others) {link},iPad or iPhone App,Positive emotion
3920,Hanging with @mention for last night of #SXSW at @mention party. #blast,,No emotion toward brand or product
3921,"I agree with @mention on their @mention concerns, but your #sxsw #microformats panelist is just condescending and rude.",,I can't tell
3922,In line with @mention and Rob ... #apple #iPad2 #sxsw,,No emotion toward brand or product
3923,Q&amp;A with #bing &amp; #google. Let the games begin #qagb #sxsw,,No emotion toward brand or product
3924,Finally with a picture! RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw,,No emotion toward brand or product
3925,Q&amp;A With Google &amp; Bing On Website Ranking at #SXSW rockstar panel lineup,,No emotion toward brand or product
3926,Q&amp;A With Google's @mention &amp; Bing's @mention On Ranking - my #SXSW session this Mon 12:30pm {link},,No emotion toward brand or product
3927,"Playing with my fave new iPhone app, @mention Wow, this will rock at #SXSW next week!",iPad or iPhone App,Positive emotion
3928,dancing with myself at google 80s party.... ain't that the truth! need my girl @mention up in this joint #SXSW {link},,Positive emotion
3929,keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live  {link},iPhone,Positive emotion
3930,Filming with the iPad is so much cooler than a lame iPhone... #sxsw (at @mention live show)  {link},iPad,Positive emotion
3931,Playing with the iPad 2. In black and white. #sxsw {link},iPad,Positive emotion
3932,One Day Without Shoes (Thoms Shoes) New App for the iPhone and Android {link} #sxsw,,No emotion toward brand or product
3933,Mayer admits that Google needs to &quot;consolidate&quot; some of its products ÛÒ namely Latitude and Hotpot ÛÒ into &quot;features of products&quot; #sxsw,,No emotion toward brand or product
3934,Mayer admits that Google needs to step up one-to-one customer service. Would set an amazing precedent! #sxsw #fh,Google,Positive emotion
3935,Maybe a little too excited about seeing the bear-creatures from that iPhone vs Evo video. Er. Priorities: I has them. #sxsw,iPhone,Positive emotion
3936,LAX security had a few questions about my suitcase packed entirely with energy drinks and Apple wires. #SXSW #BlowingUp,,No emotion toward brand or product
3937,Productivity is lost as no hookup to put iPad on the screen. #busy #sxsw,,No emotion toward brand or product
3938,"My exclusive Apple iPad 2 Review: More of the Same, but Still Better Than the Rest {link} #bnet #biz #ipad2 #apple #sxsw #ipad",iPad,Positive emotion
3939,I would give my Apple stock to be more like @mention {link} #SXSW,,I can't tell
3940,I would give my Apple stock to be more like @mention slim. {link} #SXSW,,Positive emotion
3941,need to give my iPhone &amp; liver a rest. #SXSW,,I can't tell
3942,the creative process illustrated.  check out the book {link} #sxsw,,No emotion toward brand or product
3943,I'll be live-tweeting the #SxSW panel &quot;Google's Marissa Mayer presents&quot; starting at 3:30. Follow along using the #SUxSW hashtag!,,No emotion toward brand or product
3944,"They're giving away iPad 2's, x boxes and books at @mention #sxsw #techenvy",iPad,Positive emotion
3945,The Netflix iPhone app was built to a &quot;ridiculous deadline&quot;. Big mistake on the tech's part to agree to it #sxsw,iPad or iPhone App,Negative emotion
3946,Just realized you can really talk to the dog using IPad FaceTime #sxsw,,No emotion toward brand or product
3947,Just met Jared at the Android meetup #sxsw. Big Android fan!  {link},Android,Positive emotion
3948,"That was JC Penney locations in Google Maps... now point to stuff other than stores, guy claims #sxsw",,No emotion toward brand or product
3949,@mention jealous! I love both apple stores and #sxsw!,Apple,Positive emotion
3950,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion
3951,Google's JS implementation of PAC-Man's game logic is really cool to see-really neat that the original game code was recreated in JS #sxsw,Google,Positive emotion
3952,"@mention just arrived at the #GSDM &amp; #Google #SXSW Industry Party Austin, TX.",,No emotion toward brand or product
3953,@mention just blogged our meeting earlier! {link} - thanks for the interesting insight! #SXSW,,No emotion toward brand or product
3954,@mention just checking out the  #iPhone app. Very nice - Check it out at {link} have fun at #sxsw,iPad or iPhone App,Positive emotion
3955,@mention Just found out apple is opening a pop-up shop in DT Austin. Hoping I don't have to camp out w @mention #SXSW,,No emotion toward brand or product
3956,@mention just gave a great 15 minute preso on designing for #android! #mccannsxsw #SXSW,Android,Positive emotion
3957,@mention just google &quot;Google Circle.&quot; new social network concept originally rumored 2 b released at #sxsw 2 day but now just &quot;soon.&quot;,,No emotion toward brand or product
3958,@mention just got me an iPad from #SXSW Apple Store.  Thank you SO much!!!!,iPad,Positive emotion
3959,@mention Just got my #SXSW Go iphone App! {link},iPad or iPhone App,Positive emotion
3960,@mention just saw you at lax I'm heading to #Sxsw  If you or your wife have an iPhone or iPad download my app #Freespeech @mention,iPad or iPhone App,Positive emotion
3961,@mention Just started using the Android app. Totally killer service and I think you'll be huge at #SXSW! Hope your servers are ready. ;),Android App,Positive emotion
3962,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion
3963,@mention Just synced my #iPad2 and full of Apple joy #SXSW ;),iPad,Positive emotion
3964,@mention Just won an HTML5 t-shirt from google for saying that EaselJS is my favorite canvas library at #sxsw. Thanks brah!,Google,Positive emotion
3965,Great link &gt;&gt; RT @mention  WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product
3966,great talk about the Google Doodles and in the end they hand out printed signed doodles #SXSW  {link},Google,Positive emotion
3967,LaunchRock And Vencorps Want To Give $30K To The ÛÏBestÛ Startups #SXSW {link},,No emotion toward brand or product
3968,"Weinschenk at #bankinnovation: next battle for this is going to happen with apple, google, verizon, att. Great point. Totally agree. #sxsw",Google,Positive emotion
3969,Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link},,No emotion toward brand or product
3970,Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link} via @mention,,No emotion toward brand or product
3971,Get a look at SXSW's rumored Apple pop-up store {link} #Apple #AppleStore #iPad2 #SXSW,,No emotion toward brand or product
3972,Get a look at SXSW's rumored Apple pop-up store {link} #sxsw #apple,,No emotion toward brand or product
3973,32gb black at&amp;t in stock!! Yes!! #SXSW #iPad2 #Austin #apple,iPad,Positive emotion
3974,#sxsw talk by @mention on iPad design had great examples and insights picking up my copy of his book now {link},iPad,Positive emotion
3975,"Great talk by @mention from @mention about game mechanics. &quot;If u cant make it good, make it red.  If u cant make it red, make it big.&quot; #sxsw",,No emotion toward brand or product
3976,#sxsw look for the blue hair. I've got your free android phone info stickers from @mention #allhat3,,Positive emotion
3977,Great talk from @mention on designing good #tapworthy iPad apps. I may actually pick up the book #sxsw,iPad or iPhone App,Positive emotion
3978,#Hollrback is being released at #SXSW! iPhone users can grab the app at Hollrback.com @mention,iPad or iPhone App,Positive emotion
3979,LaunchRock is launching an iPad in the sky 4 grabs @mention #SXSW! Click 2 find the location! #launch {link} via @mention,,No emotion toward brand or product
3980,LaunchRock is launching iPods iPad in the sky for grabs @mention #SXSW! Join me 2 find the location! #launch {link} via @mention,,No emotion toward brand or product
3981,First talk of the day : iPad design headaches. #SXSW,iPad,Negative emotion
3982,Sneak peak of the Google exhibit at the #SXSW trade show  {link},,No emotion toward brand or product
3983,Great talk on using game mechanics to get user engagement @mention from google rocked it. #sxsw,Google,Positive emotion
3984,Come check out @mention iPad App demos at #ARM's #SXSWparty on Mon! {link} #SXSW #SXSW2011,,Positive emotion
3985,"Tech Check podcast -- #SxSW #Android passes #BlackBerry, a big Twitter #fail! -- {link} by @mention #sxsw #cnn",,Positive emotion
3986,"Tech Check podcast -- South By Southwest, Android passes BlackBerry, a big Twitter fail -- {link} #sxsw #cnn",Android,Positive emotion
3987,"A two-week pop-up #Apple store in downtown Austin, just in time for #SXSW and iPad2. Very cool.",iPad,Positive emotion
3988,First book purchased for the new iPad? @mention &quot;Thank You Economy.&quot; Can't wait for him to #crushit this afternoon! #sxsw #tye,iPad,Positive emotion
3989,C23: Check the Head  {link} [codes valid: 12:00-3:59:59p 03/13/11] #infektd #sxsw #cvdc,,No emotion toward brand or product
3990,Josh Clark:  I hate the iPad's back button with the heat of a million suns.  #tapworthy #SXSW,iPad,Negative emotion
3991,Josh Clark's (@mention iPad UI talk is fabulous. Full of objective critiques and insightful suggestions. {link} #sxsw,iPad,Positive emotion
3992,Join {link} and starting tonight the person with the most friends in their city by end of #SXSW Festival wins an iPad 2!!!,,No emotion toward brand or product
3993,Join {link} Most friends in ur city @mention end of #SXSW wins an iPad 2! C'mon @mention Help our @mention chng the world!,iPad,Positive emotion
3994,The hannukah miracle of the morning: uncharged iPhone still at 55% battery #sxsw,iPhone,Positive emotion
3995,Google take 3. Google Circles may be announced today at #SXSW. Their third try at #SocialNetworking. {link},,No emotion toward brand or product
3996,I feel like a Badass. @mention gave me a free drink. #SXSW,,No emotion toward brand or product
3997,sounds like a job for #sxsw RT @mention Some detail about the new Bomb It iPhone App would love some early adopters! {link},iPad or iPhone App,Positive emotion
3998,sounds like a job for #sxsw Some detail about the new Bomb It iPhone App would love some early ado... {link},iPad or iPhone App,Positive emotion
3999,Sounds like Buzz rebranded w/an inner circle  RT @mention Google to Launch New Social Network: &quot;Circles&quot; {link} #sxsw,Google,Positive emotion
4000,I feel like Harry in #dumbanddumber in this #SXSW panel with all these google peeps #understandinghumans,,No emotion toward brand or product
4001,I feel like I'm in an apple commercial waiting in line to fly to #sxsw,,No emotion toward brand or product
4002,"I feel like my iPhone: Always on, always doing something, running out of battery fast. #sxsw",iPhone,I can't tell
4003,Can't. Take. Hands. Off. iPhone.  Even when it's charging and I have zero juice left. #appleaddiction #SXSW,iPhone,Positive emotion
4004,Just checked into the #SXSW trade show. @mention is right across from Google!,,No emotion toward brand or product
4005,@mention Kenya asked me to blog about it. I may do so tomorrow. Apple has a pop-up store coming to #SXSW,,No emotion toward brand or product
4006,i hope u kept tha NXDC app RT @mention There's an app for #SXSW on the iPhone.. #downloaded,,No emotion toward brand or product
4007,Heartbreaker #Sxsw #apple #ipad2 RT @mention @mention just asked. Sadly no :(,,No emotion toward brand or product
4008,"Heat Tracker is a cool heatmap iPhone app overlay for Foursquare, but everything is on fire here #SXSW",iPad or iPhone App,Positive emotion
4009,iPad2 seekers still waiting at Austin Apple pop-up #SXSW {link},,No emotion toward brand or product
4010,#iPad2 takes over #sxsw. The line was already halfway down the block around noon. Craziness (via @mention  {link},iPad,Positive emotion
4011,"Google takes the mantra of 'Dont be evil' to heart, yet their pride in their products make them guilty of the 7th deadly sin, Superbia #sxsw",Google,Negative emotion
4012,Apple marketing is still impressive at #SXSW RT@mention {link},Apple,Positive emotion
4013,"Jesus hockey mask?! I'm worse than I thought... #SXSW @mention Apple Store, SXSW {link}",,No emotion toward brand or product
4014,I got turkey! RT @mention Random Apple Fan just bought lunch for everyone in line at #SXSW Popup Apple Store #ipad2 cc/ @mention,Apple,Positive emotion
4015,Awaiting Keynote speaker Chris Poole. #SXSW #iPhone  #TwitPict {link},,No emotion toward brand or product
4016,Facebook Killers - Google Circles to be Announced at SXSW Interactive Festival {link} #google #sxsw,,No emotion toward brand or product
4017,Really liking the #sxsw iPhone app... Thanks for making an event app. that appears to work well!!!,iPad or iPhone App,Positive emotion
4018,Wiebe walking through conceptual graphing {link} #sxsw / @mention you'd be loving this,,No emotion toward brand or product
4019,Survival kit provided to folks in line at the #SxSW apple store this morning... Genius!  {link},Apple,Positive emotion
4020,Eating a kitkat the size of half an iPad... Gotta love Americans for their sense of measure #sxsw,,No emotion toward brand or product
4021,"@mention Know about @mention ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion
4022,#playhopskoch is in the apple app store (as well as the android market) getting ready to rock #sxsw,iPad or iPhone App,Positive emotion
4023,"#SXSW folks, the Lonely Planet iPhone guide to Austin is free this week. {link}",,No emotion toward brand or product
4024,"#SXSW folks, what's the best new iPhone/iPad app you've come across so far?",,No emotion toward brand or product
4025,#SXSW folks: anybody going to the iPad/Android panel at 3:30?,,No emotion toward brand or product
4026,&quot;Desktop publishing saved Apple. Pagemaker was a gift from God.&quot; @mention #sxsw,Apple,Positive emotion
4027,Inofficial #SXSW torrents are available here: {link},,No emotion toward brand or product
